icd9_code,short_title,long_title
E8790,Abn react-cardiac cath,"Cardiac catheterization as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure"
42789,Cardiac dysrhythmias NEC,Other specified cardiac dysrhythmias
42822,Chr systolic hrt failure,Chronic systolic heart failure
4263,Left bb block NEC,Other left bundle branch block
41401,Crnry athrscl natve vssl,Coronary atherosclerosis of native coronary artery
V5861,Long-term use anticoagul,Long-term (current) use of anticoagulants
4280,CHF NOS,"Congestive heart failure, unspecified"
2449,Hypothyroidism NOS,Unspecified acquired hypothyroidism
3659,Glaucoma NOS,Unspecified glaucoma
3962,Mitral insuf/aort stenos,Mitral valve insufficiency and aortic valve stenosis
4260,Atriovent block complete,"Atrioventricular block, complete"
2875,Thrombocytopenia NOS,"Thrombocytopenia, unspecified"
9971,Surg compl-heart,"Cardiac complications, not elsewhere classified"
42731,Atrial fibrillation,Atrial fibrillation
42732,Atrial flutter,Atrial flutter
4019,Hypertension NOS,Unspecified essential hypertension
25000,DMII wo cmp nt st uncntr,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled"
71590,Osteoarthros NOS-unspec,"Osteoarthrosis, unspecified whether generalized or localized, site unspecified"
99831,Disrup internal op wound,Disruption of internal operation (surgical) wound
99811,Hemorrhage complic proc,Hemorrhage complicating a procedure
41511,Iatrogen pulm emb/infarc,Iatrogenic pulmonary embolism and infarction
99672,Comp-oth cardiac device,"Other complications due to other cardiac device, implant, and graft"
496,Chr airway obstruct NEC,"Chronic airway obstruction, not elsewhere classified"
V4581,Aortocoronary bypass,Aortocoronary bypass status
60000,BPH w/o urinary obs/LUTS,Hypertrophy (benign) of prostate without urinary obstruction and other lower urinary tract symptom (LUTS)
53081,Esophageal reflux,Esophageal reflux
V1051,Hx of bladder malignancy,Personal history of malignant neoplasm of bladder
55321,Incisional hernia,Incisional hernia without mention of obstruction or gangrene
486,"Pneumonia, organism NOS","Pneumonia, organism unspecified"
99739,Respiratory comp NEC,Other respiratory complications
5180,Pulmonary collapse,Pulmonary collapse
41400,Cor ath unsp vsl ntv/gft,"Coronary atherosclerosis of unspecified type of vessel, native or graft"
30000,Anxiety state NOS,"Anxiety state, unspecified"
4111,Intermed coronary synd,Intermediate coronary syndrome
3051,Tobacco use disorder,Tobacco use disorder
41071,"Subendo infarct, initial","Subendocardial infarction, initial episode of care"
53551,Gstr/ddnts NOS w hmrhg,"Unspecified gastritis and gastroduodenitis, with hemorrhage"
2851,Ac posthemorrhag anemia,Acute posthemorrhagic anemia
60883,Male gen vascul dis NEC,Vascular disorders of male genital organs
0389,Septicemia NOS,Unspecified septicemia
99592,Severe sepsis,Severe sepsis
5849,Acute kidney failure NOS,"Acute kidney failure, unspecified"
9982,Accidental op laceration,"Accidental puncture or laceration during a procedure, not elsewhere classified"
5601,Paralytic ileus,Paralytic ileus
6084,Male gen inflam dis NEC,Other inflammatory disorders of male genital organs
E8708,Acc cut in med care NEC,"Accidental cut, puncture, perforation or hemorrhage during other specified medical care"
V3000,Single lb in-hosp w/o cs,"Single liveborn, born in hospital, delivered without mention of cesarean section"
769,Respiratory distress syn,Respiratory distress syndrome in newborn
7742,Neonat jaund preterm del,Neonatal jaundice associated with preterm delivery
76519,Preterm NEC 2500+g,"Other preterm infants, 2,500 grams and over"
V290,NB obsrv suspct infect,Observation for suspected infectious condition
V058,Vaccin for disease NEC,Need for prophylactic vaccination and inoculation against other specified disease
V053,Need prphyl vc vrl hepat,Need for prophylactic vaccination and inoculation against viral hepatitis
1917,Mal neo brain stem,Malignant neoplasm of brain stem
5130,Abscess of lung,Abscess of lung
48241,Meth sus pneum d/t Staph,Methicillin susceptible pneumonia due to Staphylococcus aureus
5070,Food/vomit pneumonitis,Pneumonitis due to inhalation of food or vomitus
70705,"Pressure ulcer, buttock","Pressure ulcer, buttock"
1124,Candidiasis of lung,Candidiasis of lung
48282,Pneumonia e coli,Pneumonia due to escherichia coli [E. coli]
78820,Retention urine NOS,"Retention of urine, unspecified"
5121,Iatrogenic pneumothorax,Iatrogenic pneumothorax
70703,"Pressure ulcer, low back","Pressure ulcer, lower back"
3485,Cerebral edema,Cerebral edema
V1005,Hx of colonic malignancy,Personal history of malignant neoplasm of large intestine
V1047,Hx-testicular malignancy,Personal history of malignant neoplasm of testis
2859,Anemia NOS,"Anemia, unspecified"
7099,Skin disorder NOS,Unspecified disorder of skin and subcutaneous tissue
42741,Ventricular fibrillation,Ventricular fibrillation
412,Old myocardial infarct,Old myocardial infarction
43820,Late ef-hemplga side NOS,"Late effects of cerebrovascular disease, hemiplegia affecting unspecified side"
43819,Late ef-spch/lang df NEC,"Late effects of cerebrovascular disease, other speech and language deficits"
8052,Fx dorsal vertebra-close,Closed fracture of dorsal [thoracic] vertebra without mention of spinal cord injury
E8210,Oth off-road mv acc-driv,Nontraffic accident involving other off-road motor vehicle injuring driver of motor vehicle other than motorcycle
4139,Angina pectoris NEC/NOS,Other and unspecified angina pectoris
5960,Bladder neck obstruction,Bladder neck obstruction
3968,Mitr/aortic mult involv,Multiple involvement of mitral and aortic valves
2720,Pure hypercholesterolem,Pure hypercholesterolemia
78057,Sleep apnea NOS,Unspecified sleep apnea
V173,Fam hx-ischem heart dis,Family history of ischemic heart disease
4439,Periph vascular dis NOS,"Peripheral vascular disease, unspecified"
8249,Fx ankle NOS-open,"Unspecified fracture of ankle, open"
9984,FB left during procedure,Foreign body accidentally left during a procedure
8730,Open wound of scalp,"Open wound of scalp, without mention of complication"
87344,Open wound of jaw,"Open wound of jaw, without mention of complication"
9110,Abrasion trunk,"Abrasion or friction burn of trunk, without mention of infection"
9130,Abrasion forearm,"Abrasion or friction burn of elbow, forearm, and wrist, without mention of infection"
E8122,Mv collis NOS-motorcycl,Other motor vehicle traffic accident involving collision with motor vehicle injuring motorcyclist
5768,Dis of biliary tract NEC,Other specified disorders of biliary tract
20300,Mult mye w/o achv rmson,"Multiple myeloma, without mention of having achieved remission"
99659,Malfunc oth device/graft,"Mechanical complication due to other implant and internal device, not elsewhere classified"
2809,Iron defic anemia NOS,"Iron deficiency anemia, unspecified"
2811,B12 defic anemia NEC,Other vitamin B12 deficiency anemia
22809,Hemangioma NEC,Hemangioma of other sites
4241,Aortic valve disorder,Aortic valve disorders
2939,Transient mental dis NOS,Unspecified transient mental disorder in conditions classified elsewhere
40390,Hy kid NOS w cr kid I-IV,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage I through stage IV, or unspecified"
56409,Constipation NEC,Other constipation
311,Depressive disorder NEC,"Depressive disorder, not elsewhere classified"
V4582,Status-post ptca,Percutaneous transluminal coronary angioplasty status
2724,Hyperlipidemia NEC/NOS,Other and unspecified hyperlipidemia
7746,Fetal/neonatal jaund NOS,Unspecified fetal and neonatal jaundice
7661,Heavy-for-date infan NEC,"Other ""heavy-for-dates"" infants"
V293,NB obs genetc/metabl cnd,Observation for suspected genetic or metabolic condition
V502,Routine circumcision,Routine or ritual circumcision
7907,Bacteremia,Bacteremia
78039,Convulsions NEC,Other convulsions
58089,Acute nephritis NEC,Acute glomerulonephritis with other specified pathological lesion in kidney
5712,Alcohol cirrhosis liver,Alcoholic cirrhosis of liver
07054,Chrnc hpt C wo hpat coma,Chronic hepatitis C without mention of hepatic coma
04111,Mth sus Stph aur els/NOS,Methicillin susceptible Staphylococcus aureus in conditions classified elsewhere and of unspecified site
5728,"Oth sequela, chr liv dis",Other sequelae of chronic liver disease
41021,"AMI inferolateral, init","Acute myocardial infarction of inferolateral wall, initial episode of care"
30562,Cocaine abuse-episodic,"Cocaine abuse, episodic"
V3001,Single lb in-hosp w cs,"Single liveborn, born in hospital, delivered by cesarean section"
43310,Ocl crtd art wo infrct,Occlusion and stenosis of carotid artery without mention of cerebral infarction
